qqr_latin	qqr_kirill	ruscha
shenlesiw	шенлесиў	и. д. от шенлесприближёние друг к другу
sheriklesiw	шериклесиў	и. д. от шериклес-. - шериклик I) товарищество; 2)
sherleniw	шерлениў	и. д. от - шерленпечаль, тоска
shertiw	шертиў	и. д. от - шерт- I)
shetlew	шетлеў	и. д. от шетле
sheshiliw	шешилиў	и. д. от - шешил- - 1)
sheshiw	шешиў	и. д. от - шеш- - 1) раз
sheshiwli	шешиўли	1) развязанный, рас
sheshiwsiz	шешиўсиз	1) неразвязанный
sheshiwshi	шешиўши	решающий; шешиў
shiyraq	шийрақ	крепкий, выносливый
shiyraqlan-	шийрақлан-	становйться креп - ким, выносливым
shinkildew	шинкилдеў	и. д. от шицкилде- - писк; визг
shiritiw	ширитиў	и. д. от - ширит
shiritiwshi	ширитиўши	тлетворный
shiriw	шириў	и. д. от - шири- - 1) гние
shirkew	ширкеў	церковь
SHOǴIMIZ	ШОҒЫМЫЗ	все в м ес - те , с к о п о м
SHOQ	ШОҚ	т о р а н ғ ы л г у с т ы е з а р о с л и
SHOQLI	ШОҚЛЫ	I с г о р я щ и м и у г л я м и
SHOQLIQ	ШОҚЛЫҚ	II холка {у лош ади)
SHOQI	ШОҚЫ	м а к у ш к а , в е р ш и н а
SHOQI-	ШОҚЫ-	клевать, вы клёвы вать;
SHOQIL-	ШОҚЫЛ-	ст - рад, от ш оқы
SHOQIN-	ШОҚЫН-	1) к р е с т й т ь с я {делат ь
SHOQIS-	ШОҚЫС-	взаим н. - от ш оқы - к л е
SHOQIT-	ШОҚЫТ-	п онуд. от шоқы- з а
sholaqlan-	шолақлан-	лишаться - рз к, ног
sholaqlıqotsutstvie	шолақлықотсутствие	рук, ног
shontaqlaw	шонтақлаў	и. д. от шонтақла
SHONTIQ	ШОНТЫҚ	короткоухий (об овце
shoqqay-	шоққай-	сидеть на задних ла - пах (напр. о кошке, собаке)
shonqayma	шонқайма	повальная болезнь
shoqqayt-	шоққайт-	понуд. от шоққайзаставить сидеть на задних ла - пах (напр. кошку, собаку)
shocqayıw	шоцқайыў	и. д. от шоцқайсидёние на задних - лапах (напр
sholaq	шолақ	семена - дыни
SHOPQIT	ШОПҚЫТ	лохмотья, изношен
shorqaq	шорқақ	не умёющий складно
shorqaqlıq	шорқақлық	неумёлость, не
shorpıldatıw	шорпылдатыў	и. д. от шор
shorpıldaw	шорпылдаў	и. д. от шорпыл
shorshınarlıq	шоршынарлық	жуткий, страш
shotlaw	шотлаў	I и. д. от шотла- I
taqıyası	тақыясы	түйениц өркешиндей
shoshaytıw	шошайтыў	и. д. от шошайт
shoshayıw	шошайыў	и. д. от шошай
shoshaclaw	шошацлаў	и. д. от шошан
shoshqa	шошқа	свинья; ургашы шош
shoshqaxana	шошқахана	свинарник
shoshqashı	шошқашы	свинопас; шошқа
SHÓGIL-	ШӨГИЛ-	страд, от шок
SHÓGINDI	ШӨГИНДИ	осадок (на дне по
shogiriw	шогириў	и. д. от шогир
shogiw	шогиў	и. д. от - шок
SHÓKKISH	ШӨККИШ	молот, молоток
shokkishlew	шоккишлеў	и. д. от шок
shelatlıq	шелатлық	см. шолистан
shól-joziyra	шөл-жозийра	пустынный ост
shólistan	шөлистан	безводная мест - ность; пустыня
shólistanlıq	шөлистанлық	см,, шөлистан
shólkem	шөлкем	организация: партия
shólkemi	шөлкеми	партййная организа
shólkemles-	шөлкемлес-	организовываться
shólkemleskenlik	шөлкемлескенлик	организован
shólkemlestir-	шөлкемлестир-	понуд. от шөл
shólkemlestiriw	шөлкемлестириў	и. д. от шөл- - кемлестир-; шелкемлестириу
shólkemlestiriwshi	шөлкемлестириўши	организатор
shóllew	шөллеў	и. д. от шелле- жаж - да, сильное желание пить
shóqker-	шөқкер-	ставить что-л. на - попа; арбаны шецкер- поставить
shóqkeril-	шөқкерил-	страд, от шенкер- ставиться на попа; быть по
sheqkeriw	шеқкериў	и. д. от шецкер
SHÓP-PÓP	ШӨП-ПӨП	собир. разные тра - вы
shópshew	шөпшеў	и. д. от шепше
SHPIONLIQ	ШПИОНЛЫҚ	шпионаж; шпионЛЫҚ ет- шпионить
shubalıcqı	шубалыцқы	1 ) длйнный, воло
wıq	ўық	рябая - курица; 2 ) чубарый
shubatılıw	шубатылыў	и. д. от шубатыл-. - шубыр- 1 ) двигаться гуськом
kózinen	көзинен	жасы шубырды у него
shuǵıl	шуғыл	I 1) сплетник; 2) интри
shuǵıllanıw	шуғылланыў	и. д. от шурыл
shuqanaqlıq	шуқанақлық	местность, изоби
shuqshıy-	шуқшый-	1 ) устремлять взгляд
shuqshıyt-	шуқшыйт-	понуд. от шуқ- - шый- 1 ) заставить смотреть на
shuqıla-	шуқыла-	1) ковырять что-л
shuqılas-	шуқылас-	взаимн. от шуқыла
shuqılat-	шуқылат-	понуд. от шуқыла
shuqılaw	шуқылаў	и. д. от шуқыла-. - шуқым: бир шуқым щепотка;
shuqır	шуқыр	впадина, яма, углубле
shuqıray-	шуқырай-	впадать (напр. о
shuqıraydı	шуқырайды	у него глаза вва - лились, щёки впали
shuqırayt-	шуқырайт-	понуд. от шуқы
shuqırlat-	шуқырлат-	понуд. от шуқырла- заставить делать - яму, углуб
shuqırlatıw	шуқырлатыў	и. д. от шуқырлат
shuqırlıq	шуқырлық	местность, имею
shuqıs-	шуқыс-	взаимн. от - шуқы
shuqıt-	шуқыт-	понуд. от - шуқы- 1 )
shuqıtıw	шуқытыў	и. д. от шуқыт
shuqıw	шуқыў	и. д. от - шуқы- 1 ) ко
shulǵan-	шулған-	обёртывать ноги пор
shulǵanıw	шулғаныў	и. д. от шулғанобёртываыие ног - портянками
shulǵaw	шулғаў	портянка
shulǵı-	шулғы-	махать - головой (о ло
shulǵıt-	шулғыт-	понуд. от шулғы
shulǵıw	шулғыў	и. д. от шулғы-. - шунай- 1 ) быть коротким; 2 )
shunaq	шунақ	безухий; одноухий; <>
shunataq	шунатақ	мизинец
shunqıy-	шунқый-	сидеть на задних ла - пах (напр. о собаке)
shucqır	шуцқыр	глубокая - впадина
shun-shuqır	шун-шуқыр	очень - глубокий
shurqas	шурқас	название детской - игры
shurıldaw	шурылдаў	и. д. от шурыл
shuw	шуў	I анат. послед
-shuw	-шуў	ет- сопеть носом
shuwaq	шуўақ	ясный, солнечный (обыч
shuwash	шуўаш	запах - пота
shuwashlı	шуўашлы	потливый
shuwda	шуўда	пучок - волос, длинная
shuwla-	шуўла-	1 ) шуметь (напр. о
shuwlas-	шуўлас-	взаимн. от шуўла
shuwlat-	шуўлат-	понуд. от - шуўла- I)
shuwlatıw	шуўлатыў	и. д. от - шуўлат
shuwlaw	шуўлаў	и. д. от - шуўла- 1 ) шум
shuwlıǵıw	шуўлығыў	и. д. от - шуўлық
shuwlıq-	шуўлық-	1 ) выкипать; 2 ) сгу
shuwlıqtır-	шуўлықтыр-	понуд. от - шуў
shuwmaqla-	шуўмақла-	наматывать - что-л
shuwmaklaw	шуўмаклаў	и. д. от шуўмақ
shuwılda-	шуўылда-	гудеть (о ветре, де
shuwıldas-	шуўылдас-	взаимн. от шуўылда
shuwıldat-	шуўылдат-	понуд. от шуўылда- вызвать - гудение (ветра, де
shuwıldaw	шуўылдаў	и. д. от - шуўылдагудёние (ветра, деревьев)
shuwıldı	шуўылды	гул; шамалдыц шу
wıldısı	ўылдысы	гул - ветра
shushtıyıw	шуштыйыў	и. д. от шуштый
shúberek	шүберек	тряпка, лоскут
shúdigár	шүдигәр	пашня, вспаханное
shúy	шүй	чека
shúyde	шүйде	затылок: / затылочный
shúyelli	шүйелли	1 ) покрытый боро
shúyinshi	шүйинши	см. сүйинши
shúykilde-	шүйкилде-	пищать
shúykildes-	шүйкилдес-	взаимн. от шүй
shúykildet-	шүйкилдет-	понуд. от шүй
shúykildew	шүйкилдеў	и. д. от шүйкилдеписк
shúkir	шүкир	благодарность, призна
shúkirlik	шүкирлик	выражение благо - дарности, признательности
